athlete_id,Athlete,Team,City,State,Lat,Long
1,Alice McKennis,Alpine,Minturn,Colorado,39.5864,-106.4309
2,Breezy Johnson,Alpine,Jackson Hole,Wyoming,43.4799,-110.7624
3,Bryce Bennett,Alpine,Tahoe City,California,39.1677,-120.1452
4,Jacqueline Wiles,Alpine,Portland,Oregon,45.5051,-122.675
5,Laurenne Ross,Alpine,Bend,Oregon,44.0582,-121.3153
6,Mikaela Shiffrin,Alpine,Edwards,Colorado,39.5764,-106.7235
7,Steven Nyman,Alpine,Jackson Hole,Wyoming,43.4799,-110.7624
8,Ted Ligety,Alpine,Park City,Utah,40.6461,-111.498
9,Tommy Ford,Alpine,Bend,Oregon,44.0582,-121.3153
10,Travis Ganong,Alpine,Tahoe City,California,39.1677,-120.1452
11,AJ Hurt,Alpine,Carnelian Bay,California,39.2269,-120.0819
12,Alice Merryweather,Alpine,Hingham,Massachusetts,42.2418,-70.8898
13,Ben Ritchie,Alpine,Waitsfield,Vermont,44.1926,-72.7798
14,Brian McLaughlin,Alpine,Waitsfield,Vermont,44.1926,-72.7798
15,Jared Goldberg,Alpine,Holladay,Utah,40.6688,-111.8247
16,Keely Cashman,Alpine,Strawberry,California,38.1983,-120.0094
17,Kyle Negomir,Alpine,Littleton,Colorado,39.6133,-105.0166
18,Luke Winters,Alpine,Gresham,Oregon,45.5099,-122.4348
19,Nina O’Brien,Alpine,Denver,Colorado,39.7392,-104.9903
20,Paula Moltzan,Alpine,Burlington,Vermont,44.4759,-73.2121
21,River Radamus,Alpine,Edwards,Colorado,39.5764,-106.7235
22,Ryan Cochran-Siegle,Alpine,Starksboro,Vermont,44.2273,-73.0573
23,Sam Morse,Alpine,Sugarloaf,Maine,45.0314,-70.3131
24,Abi Jewett,Alpine,Ripton,Vermont,43.9737,-73.034
25,Bridger Gile,Alpine,Aspen,Colorado,39.1911,-106.8175
26,Cooper Cornelius,Alpine,Glenwood Springs,Colorado,39.5505,-107.3248
27,Galena Wardle,Alpine,Aspen,Colorado,39.1911,-106.8175
28,George Steffey,Alpine,Springfield,New Hampshire,43.4951,-72.0334
29,Katie Hensien,Alpine,Park City,Utah,40.6461,-111.498
30,Ainsley Proffit,Alpine,St. Louis,Missouri,38.627,-90.1994
31,Alix Wilkinson,Alpine,Mammoth Lakes,California,37.6485,-118.9721
32,Emma Resnick,Alpine,Vail,Colorado,39.6403,-106.3742
33,Isaiah Nelson,Alpine,Wayzata,Minnesota,44.9741,-93.5066
34,Jack Smith,Alpine,Sun Valley,Idaho,43.6971,-114.3517
35,Jacob Dilling,Alpine,Vail,Colorado,39.6403,-106.3742
36,Kellen Kinsella,Alpine,Edwards,Colorado,39.645,-106.5942
37,Lauren Macuga,Alpine,Park City,Utah,40.6461,-111.498
38,Zoe Zimmermann,Alpine,Gilford,New Hampshire,43.5476,-71.4067
39,Aaron Blunck,Freeski,Crested Butte,Colorado,38.8697,-106.9878
40,Abigale Hansen,Freeski,Bishop,California,37.3614,-118.3997
41,Alex Ferreira,Freeski,Aspen,Colorado,39.1911,-106.8175
42,Annalisa Drew,Freeski,Breckenridge,Colorado,39.4817,-106.0384
43,Birk Irving,Freeski,Winter Park,Colorado,39.8917,-105.7631
44,Brita Sigourney,Freeski,Park City,Utah,40.6461,-111.498
45,Carly Margulies,Freeski,Mammoth Lakes,California,37.6485,-118.9721
46,David Wise,Freeski,Reno,Nevada,39.5296,-119.8138
47,Devin Logan,Freeski,Park City,Utah,40.6461,-111.498
48,Hunter Hess,Freeski,Bend,Oregon,44.0582,-121.3153
49,Lyman Currier,Freeski,Boulder,Colorado,40.015,-105.2705
50,Taylor Seaton,Freeski,Avon,Colorado,39.6331,-106.5222
51,Torin Yater-Wallace,Freeski,Basalt,Colorado,39.3689,-107.0328
52,Alex Hall,Freeski,Park City,Utah,40.6461,-111.498
53,Caroline Claire,Freeski,Manchester Center,Vermont,43.1637,-73.0723
54,Colby Stevenson,Freeski,Park City,Utah,40.6461,-111.498
55,Darian Stevens,Freeski,Park City,Utah,40.6461,-111.498
56,Joss Christensen,Freeski,Park City,Utah,40.6461,-111.498
57,Julia Krass,Freeski,Park City,Utah,40.6461,-111.498
58,Kiernan Fagan,Freeski,Brownfield,Maine,43.9381,-70.9087
59,Mac Forehand,Freeski,Winhall,Vermont,43.1558,-72.9133
60,Maggie Voisin,Freeski,Whitefish,Montana,48.4106,-114.3353
61,Nick Goepper,Freeski,Lawrenceburg,Indiana,39.0909,-84.85
62,Willie Borm,Freeski,Chaska,Minnesota,44.7893,-93.6018
63,Cassidy Jarrell,Freeski,Aspen,Colorado,39.1911,-106.8175
64,Connor Ladd,Freeski,Lakewood,Colorado,39.7047,-105.0814
65,Dylan Ladd,Freeski,Lakewood,Colorado,39.7047,-105.0814
66,Hanna Faulhaber,Freeski,Carbondale,Colorado,39.4022,-107.2112
67,Hunter Carey,Freeski,Winter Park,Colorado,39.8917,-105.7631
68,Jaxin Hoerter,Freeski,Breckenridge,Colorado,39.4817,-106.0384
69,Sammy Schuiling,Freeski,Steamboat Springs,Colorado,40.485,-106.8317
70,Svea Irving,Freeski,Winter Park,Colorado,39.8917,-105.7631
71,Cody LaPlante,Freeski,Truckee,California,39.328,-120.1833
72,Deven Fagan,Freeski,Brownfield,Maine,43.9381,-70.9087
73,Grace Henderson,Freeski,Madbury,New Hampshire,43.1693,-70.9239
74,Hunter Henderson,Freeski,Madbury,New Hampshire,43.1693,-70.9239
75,Marin Hamill,Freeski,Park City,Utah,40.6461,-111.498
76,Rell Harwood,Freeski,Park City,Utah,40.6461,-111.498
77,Richard Thomas,Freeski,Orono,Minnesota,44.9714,-93.6044
78,Tyler Wallasch,Freeski,Mammoth Lakes,California,37.6485,-118.9721
