Name,Team,City,State
Alice McKennis,Alpine,Minturn,Colorado
Breezy Johnson,Alpine,Jackson Hole,Wyoming
Bryce Bennett,Alpine,Tahoe City,California
Jacqueline Wiles ,Alpine,Portland,Oregon
Laurenne Ross,Alpine,Bend,Oregon
Mikaela Shiffrin,Alpine,Edwards,Colorado
Steven Nyman,Alpine,Jackson,Wyoming
Ted Ligety,Alpine,Park City,Utah
Tommy Ford,Alpine,Bend,Oregon
Travis Ganong,Alpine,Tahoe City,California
AJ Hurt,Alpine,Carnelian Bay,California
Alice Merryweather,Alpine,Hingham,Massachusetts
Ben Ritchie,Alpine,Waitsfield,Vermont
Brian McLaughlin,Alpine,Waitsfield,Vermont
Jared Goldberg,Alpine,Holladay,Utah
Keely Cashman,Alpine,Strawberry,California
Kyle Negomir,Alpine,Littleton,Colorado
Luke Winters,Alpine,Gresham,Oregon
Nina O’Brien,Alpine,Denver,Colorado
Paula Moltzan,Alpine,Burlington,Vermont
River Radamus,Alpine,Edwards,Colorado
Ryan Cochran-Siegle,Alpine,Starksboro,Vermont
Sam Morse,Alpine,Sugarloaf,Maine
Abi Jewett,Alpine,Ripton,Vermont
Bridger Gile,Alpine,Aspen,Colorado
Cooper Cornelius,Alpine,Glenwood Springs,Colorado
Galena Wardle,Alpine,Aspen,Colorado
George Steffey,Alpine,Springfield,New Hampshire
Katie Hensien,Alpine,Park City,Utah
Ainsley Proffit,Alpine,St. Louis,Missouri
Alix Wilkinson,Alpine,Mammoth Lakes,California
Emma Resnick,Alpine,Vail,Colorado
Isaiah Nelson,Alpine,Wayzata,Minnesota
Jack Smith,Alpine,Sun Valley,Idaho
Jacob Dilling,Alpine,Vail,Colorado
Kellen Kinsella,Alpine,Edwards,Colorado
Lauren Macuga,Alpine,Park City,Utah
Zoe Zimmermann,Alpine,Gilford,New Hampshire
Aaron Blunck,Freeski,Crested BUtahte,Colorado
Abigale Hansen,Freeski,Bishop,California
Alex Ferreira,Freeski,Aspen,Colorado
Annalisa Drew,Freeski,Breckenridge,Colorado
Birk Irving,Freeski,Winter Park,Colorado
Brita Sigourney,Freeski,Park City,Utah
Carly Margulies,Freeski,Mammoth Lakes,California
David Wise,Freeski,Reno,Nevada
Devin Logan,Freeski,Park City,Utah
Hunter Hess,Freeski,Bend,Oregon
Lyman Currier,Freeski,Boulder,Colorado
Taylor Seaton,Freeski,Avon,Colorado
Torin Yater-Wallace,Freeski,Basalt,Colorado
Alex Hall,Freeski,Park City,Utah
Caroline Claire,Freeski,Manchester Center,Vermont
Colby Stevenson,Freeski,Park City,Utah
Darian Stevens,Freeski,Park City,Utah
Joss Christensen,Freeski,Park City,Utah
Julia Krass,Freeski,Park City,Utah
Kiernan Fagan,Freeski,Brownfield,Maine
Mac Forehand,Freeski,Winhall,Vermont
Maggie Voisin,Freeski,Whitefish,Montana
Nick Goepper,Freeski,Lawrenceburg,Indiana
Willie Borm,Freeski,Chaska,Minnesota
Cassidy Jarrell,Freeski,Aspen,Colorado
Connor Ladd,Freeski,Lakewood,Colorado
Dylan Ladd,Freeski,Lakewood,Colorado
Hanna Faulhaber,Freeski,Carbondale,Colorado
Hunter Carey,Freeski,Winter Park,Colorado
Jaxin Hoerter,Freeski,Breckenridge,Colorado
Sammy Schuiling,Freeski,Steamboat Springs,Colorado
Svea Irving,Freeski,Winter Park,Colorado
Cody LaPlante,Freeski,Truckee,California
Deven Fagan,Freeski,Brownfield,Maine
Grace Henderson,Freeski,Madbury,New Hampshire
Hunter Henderson,Freeski,Madbury,New Hampshire
Marin Hamill,Freeski,Park City,Utah
Rell Harwood,Freeski,Park City,Utah
Richard Thomas,Freeski,Orono,Minnesota
Tyler Wallasch,Freeski,Mammoth Lakes,California
Whitney Gardner,Freeski,Salt Lake City,Utah
Alex Bowen,Freestyle,Park City,Utah
Ashley Caldwell,Freestyle,Park City,Utah
Chris Lillis,Freestyle,Park City,Utah
Eric Loughran,Freestyle,Park City,Utah
Jonathon Lillis,Freestyle,Park City,Utah
Justin Schoenefeld,Freestyle,Park City,Utah
Kaila Kuhn,Freestyle,Park City,Utah
Madison Varmette,Freestyle,Park City,Utah
Megan Nick,Freestyle,Park City,Utah
Megan Smallhouse,Freestyle,Park City,Utah
Morgan Northrop,Freestyle,Park City,Utah
Nicholas Novak,Freestyle,Park City,Utah
Quinn Dehlinger,Freestyle,Park City,Utah
Winter Vinecki,Freestyle,Park City,Utah
Alex Lewis,Freestyle,Carlisle,Massachusetts
Avital Shimko,Freestyle,Park City,Utah
Bradley Wilson,Freestyle,Park City,Utah
Casey Andringa,Freestyle,Vail,Colorado
Emerson Smith,Freestyle,Park City,Utah
Hannah Soar,Freestyle,Killington,Vermont
Jaelin Kauf,Freestyle,Salt Lake City,Utah
Jesse Andringa,Freestyle,Park City,Utah
Joel Hedrick,Freestyle,Park City,Utah
Kai Owens,Freestyle,Vail,Colorado
Kenzie Radway,Freestyle,Steamboat Springs,Colorado
Morgan Schild,Freestyle,Pittsford,New York
Nessa Dziemian,Freestyle,Park City,Utah
Nick Page,Freestyle,Park City,Utah
Olivia Giaccio,Freestyle,Park City,Utah
Sabrina Cass,Freestyle,Park City,Utah
Tess Johnson,Freestyle,Vail,Colorado
Thomas Rowley,Freestyle,Park City,Utah
Erik Bjornsen,Cross Country,Anchorage,Alaska
Jessie Diggins,Cross Country,Afton,Minnesota
Rosie Brennan,Cross Country,Anchorage,Alaska
Sadie Maubet Bjornsen,Cross Country,Anchorage,Alaska
Simi Hamilton,Cross Country,Stratton Mountain,Vermont
Sophie Caldwell,Cross Country,Peru,Vermont
Caitlin Patterson,Cross Country,Craftsbury,Vermont
Hailey Swirbul,Cross Country,Anchorage,Alaska
