State,Mountain_Name,Elevation,Latitude / Longitude
Alabama,Cheaha Mountain  ,726 m,33.486 / -85.809
Alabama,Talladega Mountain,715 m,33.458 / -85.812
Alabama,Odum Point,714 m,33.416 / -85.831
Alabama,Hernandez Peak,703 m,33.458 / -85.813
Alabama,Bald Rock,696 m,33.495 / -85.808
Alabama,Parker High Point,667 m,33.416 / -85.825
Alabama,Big Caney Head,648 m,33.413 / -85.834
Alabama,McDill Point,648 m,33.454 / -85.822
Alabama,Rock Garden,636 m,33.482 / -85.815
Alabama,Morton Hill,628 m,33.693 / -85.739
Alaska,Denali  ,"6,194 m",63.069 / -151.006
Alaska,South Peak,"6,186 m",63.069 / -151.006
Alaska,Churchill Peaks,"6,186 m",63.069 / -151.006
Alaska,Farthing Horn,"6,034 m",63.072 / -151.002
Alaska,Carter Horn,"6,031 m",63.068 / -150.999
Alaska,North Peak,"5,920 m",63.097 / -151.005
Alaska,Archdeacons Tower,"5,859 m",63.074 / -151.02
Alaska,Denali Pass,"5,571 m",63.083 / -151.028
Alaska,Mount Saint Elias  ,"5,510 m",60.293 / -140.93
Alaska,Mount Foraker  ,"5,270 m",62.961 / -151.398
Arizona,Humphreys Peak  ,"3,829 m",35.346 / -111.678
Arizona,Agassiz Peak  ,"3,756 m",35.326 / -111.678
Arizona,San Francisco Mountain,"3,739 m",35.341 / -111.683
Arizona,Fremont Peak  ,"3,644 m",35.323 / -111.661
Arizona,Aubineau Peak,"3,603 m",35.355 / -111.66
Arizona,Rees Peak,"3,491 m",35.356 / -111.652
Arizona,Doyle Peak  ,"3,489 m",35.33 / -111.646
Arizona,Mount Baldy  ,"3,472 m",33.906 / -109.563
Arizona,Baldy Peak,"3,472 m",33.906 / -109.563
Arizona,Doyle Saddle,"3,463 m",35.323 / -111.672
Arkansas,Magazine Mountain  ,838 m,35.167 / -93.645
Arkansas,Signal Hill,838 m,35.167 / -93.645
Arkansas,Mossback Ridge,827 m,35.167 / -93.629
Arkansas,Poteau Mountain,812 m,34.963 / -94.374
Arkansas,Black Fork Mountain,811 m,34.712 / -94.368
Arkansas,Blue Mountain,796 m,34.686 / -94.048
Arkansas,Cameron Bluff,775 m,35.173 / -93.643
Arkansas,House Gap,775 m,35.165 / -93.64
Arkansas,Poteau Mountain,771 m,34.962 / -94.369
Arkansas,Rich Mountain,764 m,34.67 / -94.31
California,Mount Whitney  ,"4,412 m",36.578 / -118.292
California,Sierra Nevada  ,"4,400 m",36.579 / -118.293
California,Mount Williamson  ,"4,384 m",36.656 / -118.311
California,North Palisade  ,"4,348 m",37.094 / -118.514
California,White Mountain Peak  ,"4,338 m",37.634 / -118.256
California,White-Inyo Range,"4,336 m",37.634 / -118.256
California,Crooks Peak,"4,328 m",36.574 / -118.291
California,Mount Sill  ,"4,312 m",37.096 / -118.504
California,Mount Shasta  ,"4,303 m",41.409 / -122.195
California,Mount Russell  ,"4,281 m",36.59 / -118.291
Colorado,Mount Elbert  ,"4,396 m",39.118 / -106.445
Colorado,Mount Harvard  ,"4,391 m",38.924 / -106.321
Colorado,Mount Massive  ,"4,385 m",39.187 / -106.475
Colorado,La Plata Peak  ,"4,369 m",39.029 / -106.473
Colorado,Uncompahgre Peak  ,"4,359 m",38.072 / -107.462
Colorado,Blanca Peak  ,"4,354 m",37.577 / -105.486
Colorado,Continental Mountains,"4,351 m",39.634 / -105.817
Colorado,Grays Peak  ,"4,349 m",39.634 / -105.818
Colorado,Front Range  ,"4,349 m",39.634 / -105.818
Colorado,Mount Lincoln  ,"4,348 m",39.351 / -106.111
Connecticut,Bear Mountain  ,708 m,42.045 / -73.455
Connecticut,Round Mountain  ,695 m,42.049 / -73.476
Connecticut,Gridley Mountain  ,668 m,42.04 / -73.467
Connecticut,Bradford Mountain,598 m,41.99 / -73.293
Connecticut,Bald Peak,588 m,42.012 / -73.465
Connecticut,Bald Mountain,539 m,42.027 / -73.217
Connecticut,Mount Riga,534 m,41.995 / -73.469
Connecticut,Stone Man Mountain,525 m,41.957 / -73.283
Connecticut,East Bald Mountain,519 m,42.03 / -73.199
Connecticut,Thorpe Mountain,518 m,41.991 / -73.488
Delaware,Horseshoe Hill,101 m,39.792 / -75.664
Delaware,Iron Hill  ,101 m,39.639 / -75.752
Delaware,Chestnut Hill,89 m,39.651 / -75.77
Delaware,Drummond Hill,87 m,39.713 / -75.71
Delaware,Sandy Bray,52 m,39.628 / -75.778
Delaware,Sandy Brae,34 m,39.628 / -75.762
Delaware,Holly Island,25 m,39.776 / -75.577
Delaware,Bohemia Manor,19 m,39.483 / -75.769
Delaware,Cherry Island,16 m,39.73 / -75.517
Delaware,Wilson Hill,15 m,38.711 / -75.478
Florida,Britton Hill  ,105 m,30.989 / -86.282
Florida,Falling Water Hill,97 m,30.731 / -85.535
Florida,High Hill  ,96 m,30.731 / -85.485
Florida,Sugarloaf Mountain  ,94 m,28.649 / -81.733
Florida,Danley Hill,93 m,30.974 / -86.195
Florida,Sandy Mountain,90 m,30.663 / -86.284
Florida,Pleasant Ridge,90 m,30.845 / -85.98
Florida,Iron Mountain  ,88 m,27.937 / -81.577
Florida,Mud Hill,87 m,30.617 / -85.62
Florida,Orange Hill,87 m,30.669 / -85.515
Georgia,Brasstown Bald  ,"1,448 m",34.874 / -83.811
Georgia,Rabun Bald  ,"1,431 m",34.966 / -83.3
Georgia,Dicks Knob,"1,409 m",34.985 / -83.522
Georgia,Wolfpen Ridge  ,"1,379 m",34.863 / -83.809
Georgia,Blood Mountain  ,"1,355 m",34.74 / -83.937
Georgia,Bear Gap,"1,351 m",34.991 / -83.52
Georgia,Tray Mountain  ,"1,347 m",34.801 / -83.684
Georgia,Little Bald Mountain,"1,345 m",34.884 / -83.809
Georgia,Hightower Bald  ,"1,338 m",34.983 / -83.62
Georgia,Slaughter Mountain  ,"1,317 m",34.748 / -83.95
Hawaii,Pu‘uwēkiu  ,"4,199 m",19.821 / -155.468
Hawaii,Pu‘ukea,"4,173 m",19.825 / -155.469
Hawaii,Mauna Loa Summit Cairn,"4,161 m",19.479 / -155.602
Hawaii,Pu‘uhau‘oki,"4,160 m",19.826 / -155.472
Hawaii,Pu‘upoli‘ahu,"4,150 m",19.821 / -155.481
Hawaii,Mauna Kea  ,"4,147 m",19.824 / -155.471
Hawaii,Mauna Loa  ,"4,115 m",19.472 / -155.592
Hawaii,Pu‘uhaukea,"4,097 m",19.813 / -155.472
Hawaii,1949 Cone,"4,087 m",19.456 / -155.605
Hawaii,1940 Cone,"4,060 m",19.462 / -155.601
Idaho,Borah Peak  ,"3,855 m",44.137 / -113.781
Idaho,Leatherman Peak  ,"3,716 m",44.082 / -113.733
Idaho,Pioneer Mountains,"3,639 m",43.749 / -114.131
Idaho,Hyndman Peak  ,"3,639 m",43.749 / -114.131
Idaho,Diamond Peak  ,"3,634 m",44.142 / -113.084
Idaho,Standhope Peak  ,"3,616 m",43.785 / -114.025
Idaho,The Devils Bedstead,"3,612 m",43.799 / -114.152
Idaho,Castle Peak  ,"3,601 m",44.04 / -114.586
Idaho,White Cloud Peaks  ,"3,593 m",44.04 / -114.586
Idaho,Boulder Mountains  ,"3,566 m",43.902 / -114.409
Illinois,Charles Mound  ,376 m,42.504 / -90.24
Illinois,Benton Mound,367 m,42.397 / -90.049
Illinois,Hudson Mound,356 m,42.477 / -90.178
Illinois,Mound Sumner,356 m,42.467 / -90.142
Illinois,Squirrel Grove Mound,355 m,42.496 / -90.148
Illinois,Scales Mound,355 m,42.467 / -90.272
Illinois,Simmons Mound,327 m,42.363 / -89.981
Illinois,Williams Hill,324 m,37.582 / -88.476
Illinois,Horseshoe Mound,324 m,42.404 / -90.395
Illinois,Pea Ridge,319 m,42.443 / -90.183
Indiana,Hoosier Hill  ,382 m,40 / -84.851
Indiana,Hells Point,333 m,41.716 / -85.013
Indiana,Sand Hill  ,327 m,41.514 / -85.225
Indiana,Weed Patch Hill  ,322 m,39.167 / -86.217
Indiana,Diamond Hill,317 m,41.445 / -85.522
Indiana,Paradise Point,317 m,41.734 / -84.848
Indiana,The Knob  ,313 m,41.652 / -85.354
Indiana,Bearwallow Hill,313 m,39.251 / -86.216
Indiana,Limekiln Ridge,312 m,39.156 / -86.229
Indiana,Baby Mountain,310 m,41.463 / -85.248
Iowa,Hawkeye Point  ,509 m,43.46 / -95.709
Iowa,Ocheyedan Mound,491 m,43.403 / -95.521
Iowa,Pikes Point,448 m,43.416 / -95.152
Iowa,Pilot Knob,443 m,43.253 / -93.553
Iowa,Wheelers Beach,439 m,43.358 / -95.147
