,State,Mountain_Name,Elevation,Latitude,Longitude
0,Alabama,Cheaha Mountain  ,726.0,33.486,-85.809
1,Alabama,Talladega Mountain,715.0,33.458,-85.812
2,Alabama,Odum Point,714.0,33.416,-85.831
3,Alabama,Hernandez Peak,703.0,33.458,-85.813
4,Alabama,Bald Rock,696.0,33.495,-85.808
5,Alabama,Parker High Point,667.0,33.416,-85.825
6,Alabama,Big Caney Head,648.0,33.413,-85.834
7,Alabama,McDill Point,648.0,33.454,-85.822
8,Alabama,Rock Garden,636.0,33.482,-85.815
9,Alabama,Morton Hill,628.0,33.693,-85.739
10,Alaska,Denali  ,6194.0,63.069,-151.006
11,Alaska,South Peak,6186.0,63.069,-151.006
12,Alaska,Churchill Peaks,6186.0,63.069,-151.006
13,Alaska,Farthing Horn,6034.0,63.072,-151.002
14,Alaska,Carter Horn,6031.0,63.068,-150.999
15,Alaska,North Peak,5920.0,63.097,-151.005
16,Alaska,Archdeacons Tower,5859.0,63.074,-151.02
17,Alaska,Denali Pass,5571.0,63.083,-151.028
18,Alaska,Mount Saint Elias  ,5510.0,60.293,-140.93
19,Alaska,Mount Foraker  ,5270.0,62.961,-151.398
20,Arizona,Humphreys Peak  ,3829.0,35.346,-111.678
21,Arizona,Agassiz Peak  ,3756.0,35.326,-111.678
22,Arizona,San Francisco Mountain,3739.0,35.341,-111.683
23,Arizona,Fremont Peak  ,3644.0,35.323,-111.661
24,Arizona,Aubineau Peak,3603.0,35.355,-111.66
25,Arizona,Rees Peak,3491.0,35.356,-111.652
26,Arizona,Doyle Peak  ,3489.0,35.33,-111.646
27,Arizona,Mount Baldy  ,3472.0,33.906,-109.563
28,Arizona,Baldy Peak,3472.0,33.906,-109.563
29,Arizona,Doyle Saddle,3463.0,35.323,-111.672
30,Arkansas,Magazine Mountain  ,838.0,35.167,-93.645
31,Arkansas,Signal Hill,838.0,35.167,-93.645
32,Arkansas,Mossback Ridge,827.0,35.167,-93.629
33,Arkansas,Poteau Mountain,812.0,34.963,-94.374
34,Arkansas,Black Fork Mountain,811.0,34.712,-94.368
35,Arkansas,Blue Mountain,796.0,34.686,-94.048
36,Arkansas,Cameron Bluff,775.0,35.173,-93.643
37,Arkansas,House Gap,775.0,35.165,-93.64
38,Arkansas,Poteau Mountain,771.0,34.962,-94.369
39,Arkansas,Rich Mountain,764.0,34.67,-94.31
40,California,Mount Whitney  ,4412.0,36.578,-118.292
41,California,Sierra Nevada  ,4400.0,36.579,-118.293
42,California,Mount Williamson  ,4384.0,36.656,-118.311
43,California,North Palisade  ,4348.0,37.094,-118.514
44,California,White Mountain Peak  ,4338.0,37.634,-118.256
45,California,White-Inyo Range,4336.0,37.634,-118.256
46,California,Crooks Peak,4328.0,36.574,-118.291
47,California,Mount Sill  ,4312.0,37.096,-118.504
48,California,Mount Shasta  ,4303.0,41.409,-122.195
49,California,Mount Russell  ,4281.0,36.59,-118.291
50,Colorado,Mount Elbert  ,4396.0,39.118,-106.445
51,Colorado,Mount Harvard  ,4391.0,38.924,-106.321
52,Colorado,Mount Massive  ,4385.0,39.187,-106.475
53,Colorado,La Plata Peak  ,4369.0,39.029,-106.473
54,Colorado,Uncompahgre Peak  ,4359.0,38.072,-107.462
55,Colorado,Blanca Peak  ,4354.0,37.577,-105.486
56,Colorado,Continental Mountains,4351.0,39.634,-105.817
57,Colorado,Grays Peak  ,4349.0,39.634,-105.818
58,Colorado,Front Range  ,4349.0,39.634,-105.818
59,Colorado,Mount Lincoln  ,4348.0,39.351,-106.111
60,Connecticut,Bear Mountain  ,708.0,42.045,-73.455
61,Connecticut,Round Mountain  ,695.0,42.049,-73.476
62,Connecticut,Gridley Mountain  ,668.0,42.04,-73.467
63,Connecticut,Bradford Mountain,598.0,41.99,-73.293
64,Connecticut,Bald Peak,588.0,42.012,-73.465
65,Connecticut,Bald Mountain,539.0,42.027,-73.217
66,Connecticut,Mount Riga,534.0,41.995,-73.469
67,Connecticut,Stone Man Mountain,525.0,41.957,-73.283
68,Connecticut,East Bald Mountain,519.0,42.03,-73.199
69,Connecticut,Thorpe Mountain,518.0,41.991,-73.488
70,Delaware,Horseshoe Hill,101.0,39.792,-75.664
71,Delaware,Iron Hill  ,101.0,39.639,-75.752
72,Delaware,Chestnut Hill,89.0,39.651,-75.77
73,Delaware,Drummond Hill,87.0,39.713,-75.71
74,Delaware,Sandy Bray,52.0,39.628,-75.778
75,Delaware,Sandy Brae,34.0,39.628,-75.762
76,Delaware,Holly Island,25.0,39.776,-75.577
77,Delaware,Bohemia Manor,19.0,39.483,-75.769
78,Delaware,Cherry Island,16.0,39.73,-75.517
79,Delaware,Wilson Hill,15.0,38.711,-75.478
80,Florida,Britton Hill  ,105.0,30.989,-86.282
81,Florida,Falling Water Hill,97.0,30.731,-85.535
82,Florida,High Hill  ,96.0,30.731,-85.485
83,Florida,Sugarloaf Mountain  ,94.0,28.649,-81.733
84,Florida,Danley Hill,93.0,30.974,-86.195
85,Florida,Sandy Mountain,90.0,30.663,-86.284
86,Florida,Pleasant Ridge,90.0,30.845,-85.98
87,Florida,Iron Mountain  ,88.0,27.937,-81.577
88,Florida,Mud Hill,87.0,30.617,-85.62
89,Florida,Orange Hill,87.0,30.669,-85.515
90,Georgia,Brasstown Bald  ,1448.0,34.874,-83.811
91,Georgia,Rabun Bald  ,1431.0,34.966,-83.3
92,Georgia,Dicks Knob,1409.0,34.985,-83.522
93,Georgia,Wolfpen Ridge  ,1379.0,34.863,-83.809
