,Name,Team,City,State
0,Alice McKennis,Alpine,Minturn,Colo.
1,Breezy Johnson,Alpine,Jackson Hole,Wyoming
2,Bryce Bennett,Alpine,Tahoe City,Calif.
3,Jacqueline Wiles ,Alpine,Portland,Ore.
4,Laurenne Ross,Alpine,Bend,Ore.
5,Mikaela Shiffrin,Alpine,Edwards,Colo.
6,Steven Nyman,Alpine,Jackson,Wyo.
7,Ted Ligety,Alpine,Park City,Utah
8,Tommy Ford,Alpine,Bend,Ore.
9,Travis Ganong,Alpine,Tahoe City,Calif.
10,AJ Hurt,Alpine,Carnelian Bay,Calif.
11,Alice Merryweather,Alpine,Hingham,Mass.
12,Ben Ritchie,Alpine,Waitsfield,Vt.
13,Brian McLaughlin,Alpine,Waitsfield,Vt.
14,Jared Goldberg,Alpine,Holladay,Utah
15,Keely Cashman,Alpine,Strawberry,Calif.
16,Kyle Negomir,Alpine,Littleton,Colo.
17,Luke Winters,Alpine,Gresham,Ore.
18,Nina O’Brien,Alpine,Denver,Colo.
19,Paula Moltzan,Alpine,Burlington,Vermont
20,River Radamus,Alpine,Edwards,Colo.
21,Ryan Cochran-Siegle,Alpine,Starksboro,Vt.
22,Sam Morse,Alpine,Sugarloaf,Maine
23,Abi Jewett,Alpine,Ripton,Vt.
24,Bridger Gile,Alpine,Aspen,Colo.
25,Cooper Cornelius,Alpine,Glenwood Springs,Colo.
26,Galena Wardle,Alpine,Aspen,Colo.
27,George Steffey,Alpine,Springfield,N.H.
28,Katie Hensien,Alpine,Park City,Utah
29,Ainsley Proffit,Alpine,St. Louis,Mo.
30,Alix Wilkinson,Alpine,Mammoth Lakes,Calif.
31,Emma Resnick,Alpine,Vail,Colo.
32,Isaiah Nelson,Alpine,Wayzata,Minn
33,Jack Smith,Alpine,Sun Valley,Idaho
34,Jacob Dilling,Alpine,Vail,Colo.
35,Kellen Kinsella,Alpine,Edwards,Colo.
36,Lauren Macuga,Alpine,Park City,Utah
37,Zoe Zimmermann,Alpine,Gilford,N.H
0,Aaron Blunck,Freeski,Crested Butte,Colo.
1,Abigale Hansen,Freeski,Bishop,Calif.
2,Alex Ferreira,Freeski,Aspen,Colo.
3,Annalisa Drew,Freeski,Breckenridge,"Colo. & Andover, Mass."
4,Birk Irving,Freeski,Winter Park,Colo.
5,Brita Sigourney,Freeski,Park City,Utah
6,Carly Margulies,Freeski,Mammoth Lakes,Calif.
7,David Wise,Freeski,Reno,Nev.
8,Devin Logan,Freeski,Park City,Utah
9,Hunter Hess,Freeski,Bend,Ore.
10,Lyman Currier,Freeski,Boulder,Colo.
11,Taylor Seaton,Freeski,Avon,Colo.
12,Torin Yater-Wallace,Freeski,Basalt,Colo.
13,Alex Hall,Freeski,Park City,Utah
14,Caroline Claire,Freeski,Manchester Center,Vt.
15,Colby Stevenson,Freeski,Park City,Utah
16,Darian Stevens,Freeski,Park City,Utah
17,Joss Christensen,Freeski,Park City,Utah
18,Julia Krass,Freeski,Park City,Utah
19,Kiernan Fagan,Freeski,Brownfield,Maine
20,Mac Forehand,Freeski,Winhall,Vt.
21,Maggie Voisin,Freeski,Whitefish,Mont.
22,Nick Goepper,Freeski,Lawrenceburg,Ind.
23,Willie Borm,Freeski,Chaska,Minn.
24,Cassidy Jarrell,Freeski,Aspen,Colo.
25,Connor Ladd,Freeski,Lakewood,Colo.
26,Dylan Ladd,Freeski,Lakewood,Colo.
27,Hanna Faulhaber,Freeski,Carbondale,Colo.
28,Hunter Carey,Freeski,Winter Park,Colo.
29,Jaxin Hoerter,Freeski,Breckenridge,Colo.
30,Sammy Schuiling,Freeski,Steamboat Springs,Colo.
31,Svea Irving,Freeski,Winter Park,Colo.
32,Cody LaPlante,Freeski,Truckee,Calif.
33,Deven Fagan,Freeski,Brownfield,Maine
34,Grace Henderson,Freeski,Madbury,N.H
